fbgn	gene	pathway	role	GeneID
FBgn0004569	aos	EGFR signaling pathway	ligand	39833
FBgn0001137	grk	EGFR signaling pathway	ligand	34171
FBgn0052179	Krn	EGFR signaling pathway	ligand	326198
FBgn0030964	Pvf1	PVR RTK signaling pathway	ligand	32876
FBgn0031888	Pvf2	PVR RTK signaling pathway	ligand	33994
FBgn0085407	Pvf3	PVR RTK signaling pathway	ligand	33995
FBgn0005672	spi	EGFR signaling pathway	ligand	35253
FBgn0003984	vn	EGFR signaling pathway	ligand	38657
FBgn0020224	Cbl	PVR RTK signaling pathway	other	38961
FBgn0286070	cnk	PVR RTK signaling pathway	other	36952
FBgn0000382	csw	PVR RTK signaling pathway	other	45278
FBgn0010583	dock	PVR RTK signaling pathway	other	33262
FBgn0016794	dos	PVR RTK signaling pathway	other	38321
FBgn0004638	drk	PVR RTK signaling pathway	other	36497
FBgn0010269	Dsor1	PVR RTK signaling pathway	other	31872
FBgn0015399	kek1	PVR RTK signaling pathway	other	34688
FBgn0015402	ksr	PVR RTK signaling pathway	other	40660
FBgn0083992	Mkp	PVR RTK signaling pathway	other	4379907
FBgn0036844	Mkp3	PVR RTK signaling pathway	other	40081
FBgn0026252	msk	PVR RTK signaling pathway	other	44747
FBgn0016641	PTP-ER	PVR RTK signaling pathway	other	37461
FBgn0003079	Raf	PVR RTK signaling pathway	other	31221
FBgn0003205	Ras85D	PVR RTK signaling pathway	other	41140
FBgn0004390	RasGAP1	PVR RTK signaling pathway	other	39158
FBgn0004635	rho	PVR RTK signaling pathway	other	38168
FBgn0003256	rl	PVR RTK signaling pathway	other	3354888
FBgn0003310	S	PVR RTK signaling pathway	other	33281
FBgn0262866	S6kII	PVR RTK signaling pathway	other	33139
FBgn0015296	Shc	PVR RTK signaling pathway	other	44052
FBgn0001965	Sos	PVR RTK signaling pathway	other	34790
FBgn0264959	Src42A	PVR RTK signaling pathway	other	35524
FBgn0262733	Src64B	PVR RTK signaling pathway	other	48973
FBgn0029157	ssh	PVR RTK signaling pathway	other	42986
FBgn0014388	sty	PVR RTK signaling pathway	other	38424
FBgn0042693	wrd	PVR RTK signaling pathway	other	42169
FBgn0003731	Egfr	EGFR signaling pathway	receptor	37455
FBgn0032006	Pvr	PVR RTK signaling pathway	receptor	34127
FBgn0000097	aop	PVR RTK signaling pathway	TF	33392
FBgn0005660	Ets21C	PVR RTK signaling pathway	TF	33229
FBgn0003118	pnt	PVR RTK signaling pathway	TF	42757
FBgn0014135	bnl	FGFR signaling pathway	ligand	42356
FBgn0033649	pyr	FGFR signaling pathway	ligand	36255
FBgn0033652	ths	FGFR signaling pathway	ligand	36258
FBgn0026309	aft	FGFR signaling pathway	other	37034
FBgn0286070	cnk	FGFR signaling pathway	other	36952
FBgn0259211	grh	FGFR signaling pathway	other	37038
FBgn0001250	if	FGFR signaling pathway	other	32661
FBgn0015402	ksr	FGFR signaling pathway	other	40660
FBgn0022238	lolal	FGFR signaling pathway	other	44703
FBgn0004456	mew	FGFR signaling pathway	other	32275
FBgn0033438	Mmp2	FGFR signaling pathway	other	35997
FBgn0004657	mys	FGFR signaling pathway	other	44885
FBgn0013563	Pex1	FGFR signaling pathway	other	45460
FBgn0010333	Rac1	FGFR signaling pathway	other	38146
FBgn0014011	Rac2	FGFR signaling pathway	other	38831
FBgn0003205	Ras85D	FGFR signaling pathway	other	41140
FBgn0004390	RasGAP1	FGFR signaling pathway	other	39158
FBgn0003254	rib	FGFR signaling pathway	other	44855
FBgn0002543	robo2	FGFR signaling pathway	other	44522
FBgn0015296	Shc	FGFR signaling pathway	other	44052
FBgn0001965	Sos	FGFR signaling pathway	other	34790
FBgn0020299	stumps	FGFR signaling pathway	other	41770
FBgn0014388	sty	FGFR signaling pathway	other	38424
FBgn0025879	Timp	FGFR signaling pathway	other	41248
FBgn0003870	ttk	FGFR signaling pathway	other	48317
FBgn0015561	unpg	FGFR signaling pathway	other	35942
FBgn0285896	btl	FGFR signaling pathway	receptor	39564
FBgn0010389	htl	FGFR signaling pathway	receptor	42160
FBgn0000097	aop	FGFR signaling pathway	TF	33392
FBgn0003118	pnt	FGFR signaling pathway	TF	42757
FBgn0004644	hh	HEDGEHOG signaling pathway	ligand	42737
FBgn0000352	cos	HEDGEHOG signaling pathway	other	35653
FBgn0001079	fu	HEDGEHOG signaling pathway	other	32855
FBgn0005355	Su(fu)	HEDGEHOG signaling pathway	other	41565
FBgn0263930	dally	HEDGEHOG signaling pathway	receptor	39013
FBgn0041604	dlp	HEDGEHOG signaling pathway	receptor	39596
FBgn0003892	ptc	HEDGEHOG signaling pathway	receptor	35851
FBgn0003444	smo	HEDGEHOG signaling pathway	receptor	33196
FBgn0004859	ci	HEDGEHOG signaling pathway	TF	43767
FBgn0284247	ds	HIPPO signaling pathway	ligand	33245
FBgn0262029	d	HIPPO signaling pathway	other	34179
FBgn0002413	dco	HIPPO signaling pathway	other	43673
FBgn0004583	ex	HIPPO signaling pathway	other	33218
